ProjectName,Address,Areasqm,TransactedPrice,NettPrice,UnitPricepsm,UnitPricepsf,SaleDate,Tenure,CompletionDate,TypeofSale,PurchaserAddressIndicator,PostalDistrict,PostalSector,PostalCode,PlanningRegion,PlanningArea,SaleYear,PurchaseYear,PurchaseYearCPI,SaleYearCPI,PurchasePriceCurrentValue
THE RIVERVALE,1 Rivervale Link  #03-03,121,424000,-,3504,326,22-Dec-06,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2006,1999,73.814,78.008,584238.852
THE RIVERVALE,1 Rivervale Link  #03-04,122,566865,-,4646,432,19-Dec-00,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,2000,2008,84.929,74.809,572547.0687
THE RIVERVALE,1 Rivervale Link  #03-10,127,518000,-,4079,379,12-Jun-07,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2007,1998,73.797,79.65,673274.9299
THE RIVERVALE,1 Rivervale Link  #03-13,121,860000,-,7107,660,22-Dec-17,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2017,2004,76.903,99.502,498137.5239
THE RIVERVALE,1 Rivervale Link  #03-15,122,581400,-,4766,443,Jun-98,99 Yrs From 18/12/1997,2000,New Sale,N.A,19,54,545118,North East Region,Sengkang,1998,2002,75.272,73.797,514712.31
THE RIVERVALE,1 Rivervale Link  #03-16,121,588000,-,4860,451,Jun-98,99 Yrs From 18/12/1997,2000,New Sale,N.A,19,54,545118,North East Region,Sengkang,1998,2010,87.848,73.797,688843.6845
THE RIVERVALE,1 Rivervale Link  #04-04,122,795000,-,6516,605,19-Nov-10,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2010,2001,75.568,87.848,669473.6492
THE RIVERVALE,1 Rivervale Link  #04-06,117,536636,-,4587,426,22-Sep-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2010,87.848,73.814,596575.2208
THE RIVERVALE,1 Rivervale Link  #04-08,116,566100,-,4880,453,14-Jul-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2008,84.929,73.797,517010.8561
THE RIVERVALE,1 Rivervale Link  #04-08,116,435000,-,3750,348,26-Mar-06,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2006,1998,73.797,78.008,598402.7643
THE RIVERVALE,1 Rivervale Link  #04-09,116,850000,-,7328,681,11-Dec-17,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2017,2007,79.65,99.502,787021.4689
THE RIVERVALE,1 Rivervale Link  #04-09,116,566100,-,4880,453,23-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1998,2017,99.502,73.797,630413.9615
THE RIVERVALE,1 Rivervale Link  #04-13,121,538384,-,4449,413,31-Aug-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2018,99.938,73.814,705361.0238
THE RIVERVALE,1 Rivervale Link  #04-14,121,865000,-,7149,664,26-May-16,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2016,2009,85.436,98.932,690147.8534
THE RIVERVALE,1 Rivervale Link  #04-14,121,545220,-,4506,419,Aug-99,99 Yrs From 18/12/1997,Uncompleted,New Sale,Private,19,54,545118,North East Region,Sengkang,1999,2016,98.932,73.814,645383.799
THE RIVERVALE,1 Rivervale Link  #04-16,121,599500,-,4955,460,23-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1998,2008,84.929,73.797,563063.924
THE RIVERVALE,1 Rivervale Link  #05-01,122,607400,-,4979,463,23-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2018,99.938,73.797,660892.9036
THE RIVERVALE,1 Rivervale Link  #05-05,120,542256,-,4519,420,15-Sep-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2012,96.689,73.814,716084.8907
THE RIVERVALE,1 Rivervale Link  #05-05,120,450000,-,3750,348,24-Oct-05,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2005,1999,73.814,77.263,567593.2117
THE RIVERVALE,1 Rivervale Link  #05-05,120,750000,-,6250,581,28-Apr-10,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2010,2005,77.263,87.848,511649.8194
THE RIVERVALE,1 Rivervale Link  #05-09,116,569100,-,4906,456,22-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2010,87.848,73.797,596437.8244
THE RIVERVALE,1 Rivervale Link  #05-09,116,534952,-,4612,428,23-Aug-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,1998,73.797,73.814,569231.0988
THE RIVERVALE,1 Rivervale Link  #05-11,117,995000,-,8504,790,11-Apr-13,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2013,1999,73.814,98.969,737836.1923
THE RIVERVALE,1 Rivervale Link  #05-13,121,748000,-,6182,574,16-Apr-10,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2010,1998,73.797,87.848,713883.2961
THE RIVERVALE,1 Rivervale Link  #05-14,121,536096,-,4431,412,Sep-99,99 Yrs From 18/12/1997,Uncompleted,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2006,78.008,73.814,435268.6904
THE RIVERVALE,1 Rivervale Link  #05-15,122,450000,-,3689,343,23-Mar-07,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2007,1998,73.797,79.65,643270.0516
THE RIVERVALE,1 Rivervale Link  #05-16,121,495000,-,4091,380,16-Nov-05,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2005,1998,73.797,77.263,630797.424
THE RIVERVALE,1 Rivervale Link  #06-02,122,599000,-,4910,456,13-Jul-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2010,87.848,73.814,680599.8998
THE RIVERVALE,1 Rivervale Link  #06-08,116,572100,-,4932,458,18-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2010,87.848,73.797,577022.5132
THE RIVERVALE,1 Rivervale Link  #06-12,120,589500,-,4913,456,25-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1998,2013,98.969,73.797,763404.3852
THE RIVERVALE,1 Rivervale Link  #06-14,121,865000,-,7149,664,6-Dec-16,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2016,1999,73.814,98.932,722533.0427
THE RIVERVALE,1 Rivervale Link  #06-14,121,838000,-,6926,643,9-Dec-10,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2010,2016,98.932,87.848,768088.3839
THE RIVERVALE,1 Rivervale Link  #06-15,122,599000,-,4910,456,May-99,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1999,2012,96.689,73.814,830597.3999
THE RIVERVALE,1 Rivervale Link  #07-01,122,613400,-,5028,467,26-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1998,2010,87.848,73.797,720765.709
THE RIVERVALE,1 Rivervale Link  #07-02,122,600000,-,4918,457,23-Apr-09,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2009,1999,73.814,85.436,660961.7119
THE RIVERVALE,1 Rivervale Link  #07-03,121,872000,-,7207,670,31-Oct-17,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2017,1999,73.814,99.502,762083.8957
THE RIVERVALE,1 Rivervale Link  #07-08,116,575100,-,4958,461,23-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2007,79.65,73.797,433609.4915
THE RIVERVALE,1 Rivervale Link  #07-10,127,644800,-,5077,472,16-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1998,2018,99.938,73.797,701512.3414
THE RIVERVALE,1 Rivervale Link  #07-12,120,592500,-,4938,459,25-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2018,99.938,73.797,701506.434
THE RIVERVALE,1 Rivervale Link  #07-14,121,542080,-,4480,416,Aug-99,99 Yrs From 18/12/1997,Uncompleted,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2016,98.932,73.814,647622.1243
THE RIVERVALE,1 Rivervale Link  #08-01,122,1030000,-,8443,784,11-Mar-14,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2014,2009,85.436,99.984,702167.7045
THE RIVERVALE,1 Rivervale Link  #08-01,122,619200,-,5075,472,18-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1998,2014,99.984,73.797,760230.7369
THE RIVERVALE,1 Rivervale Link  #08-01,122,850000,-,6967,647,21-Oct-10,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2010,1998,73.797,87.848,737096.1096
THE RIVERVALE,1 Rivervale Link  #08-02,122,607800,-,4982,463,26-Feb-99,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1999,2007,79.65,73.814,458731.0734
THE RIVERVALE,1 Rivervale Link  #08-02,122,900000,-,7377,685,26-Jul-17,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2017,1999,73.814,99.502,819320.3945
THE RIVERVALE,1 Rivervale Link  #08-06,117,559300,-,4780,444,13-Jan-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2006,78.008,73.814,414451.4922
THE RIVERVALE,1 Rivervale Link  #08-06,117,838000,-,7162,665,27-May-16,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2016,1999,73.814,98.932,749622.9387
THE RIVERVALE,1 Rivervale Link  #08-08,116,950000,-,8190,761,18-Nov-14,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2014,1998,73.797,99.984,786762.4538
THE RIVERVALE,1 Rivervale Link  #08-10,127,650800,-,5124,476,15-Jul-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2018,99.938,73.797,736950.9696
THE RIVERVALE,1 Rivervale Link  #08-11,117,559300,-,4780,444,22-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2006,78.008,73.797,401111.7834
THE RIVERVALE,1 Rivervale Link  #08-11,117,870000,-,7436,691,25-Apr-17,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2017,1998,73.797,99.502,754115.5955
THE RIVERVALE,1 Rivervale Link  #08-13,121,905000,-,7479,695,26-May-16,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2016,1998,73.797,98.932,816021.0903
THE RIVERVALE,1 Rivervale Link  #08-15,122,607800,-,4982,463,27-Jan-99,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1999,2006,78.008,73.814,439999.8718
THE RIVERVALE,1 Rivervale Link  #08-15,122,868000,-,7115,661,28-Dec-10,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2010,1999,73.814,87.848,723358.9075
THE RIVERVALE,1 Rivervale Link  #08-16,121,635000,-,5248,488,22-Sep-08,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2008,1998,73.797,84.929,706964.8455
THE RIVERVALE,1 Rivervale Link  #09-05,120,925000,-,7708,716,22-Mar-18,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2018,2008,84.929,99.938,684853.4187
THE RIVERVALE,1 Rivervale Link  #09-05,120,551760,-,4598,427,Sep-99,99 Yrs From 18/12/1997,Uncompleted,New Sale,Private,19,54,545118,North East Region,Sengkang,1999,2018,99.938,73.814,683203.0859
THE RIVERVALE,1 Rivervale Link  #09-08,116,585200,-,5045,469,23-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2009,85.436,73.797,574406.6319
THE RIVERVALE,1 Rivervale Link  #09-08,116,843000,-,7267,675,30-Dec-10,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2010,1998,73.797,87.848,696622.486
THE RIVERVALE,1 Rivervale Link  #09-09,116,585200,-,5045,469,25-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1998,2008,84.929,73.797,575228.8853
THE RIVERVALE,1 Rivervale Link  #09-09,116,930000,-,8017,745,26-Mar-18,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2018,1998,73.797,99.938,792494.5133
THE RIVERVALE,1 Rivervale Link  #09-12,120,442000,-,3683,342,22-Jan-07,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2007,1999,73.814,79.65,613188.6769
THE RIVERVALE,1 Rivervale Link  #09-13,121,554752,-,4585,426,Aug-99,99 Yrs From 18/12/1997,Uncompleted,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2014,99.984,73.814,693962.634
THE RIVERVALE,1 Rivervale Link  #09-16,121,505000,-,4174,388,24-May-07,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2007,1998,73.797,79.65,667878.369
THE RIVERVALE,1 Rivervale Link  #10-02,122,616800,-,5056,470,12-Jul-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2010,87.848,73.814,722612.2393
THE RIVERVALE,1 Rivervale Link  #10-06,117,568300,-,4857,451,Jul-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2008,84.929,73.797,556112.5175
THE RIVERVALE,1 Rivervale Link  #10-07,127,659800,-,5195,483,Jun-98,99 Yrs From 18/12/1997,2000,New Sale,N.A,19,54,545118,North East Region,Sengkang,1998,2012,96.689,73.797,757898.2201
THE RIVERVALE,1 Rivervale Link  #10-08,116,589700,-,5084,472,15-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2012,96.689,73.797,725078.8611
THE RIVERVALE,1 Rivervale Link  #10-08,116,470000,-,4052,376,19-Sep-06,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2006,1998,73.797,78.008,623349.4261
THE RIVERVALE,1 Rivervale Link  #10-11,117,820000,-,7009,651,20-Dec-10,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2010,1999,73.814,87.848,632576.0555
THE RIVERVALE,1 Rivervale Link  #10-15,122,930000,-,7623,708,5-Feb-18,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2018,1999,73.814,99.938,835095.7596
THE RIVERVALE,1 Rivervale Link  #10-15,122,945000,-,7746,720,17-Oct-19,99 Yrs From 18/12/1997,2000,Resale,N.A,19,54,545118,North East Region,Sengkang,2019,2018,99.938,99.938,930000
THE RIVERVALE,1 Rivervale Link  #10-16,121,670000,-,5537,514,27-May-08,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2008,1998,73.797,84.929,717322.4616
THE RIVERVALE,1 Rivervale Link  #11-01,122,995000,-,8156,758,24-Jun-14,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2014,2007,79.65,99.984,684134.0866
THE RIVERVALE,1 Rivervale Link  #11-01,122,632700,-,5186,482,25-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2014,99.984,73.797,734397.6536
THE RIVERVALE,1 Rivervale Link  #11-04,122,588000,-,4820,448,17-Oct-07,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2007,1999,73.814,79.65,630190.4029
THE RIVERVALE,1 Rivervale Link  #11-06,117,880000,-,7521,699,20-Apr-12,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2012,2005,77.263,96.689,538113.5861
THE RIVERVALE,1 Rivervale Link  #11-12,120,602912,-,5024,467,Oct-99,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1999,2008,84.929,73.814,538858.105
THE RIVERVALE,1 Rivervale Link  #11-15,122,838000,-,6869,638,17-May-10,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2010,1999,73.814,87.848,739425.6157
THE RIVERVALE,1 Rivervale Link  #11-15,122,1010000,-,8279,769,23-Jul-14,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2014,2010,87.848,99.984,953767.7807
THE RIVERVALE,1 Rivervale Link  #12-03,121,618200,-,5109,475,Jun-98,99 Yrs From 18/12/1997,2000,New Sale,N.A,19,54,545118,North East Region,Sengkang,1998,2014,99.984,73.797,723326.3322
THE RIVERVALE,1 Rivervale Link  #12-04,122,980000,-,8033,746,27-Dec-13,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2013,1999,73.814,98.969,820026.5586
THE RIVERVALE,1 Rivervale Link  #12-07,127,668800,-,5266,489,25-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2014,99.984,73.797,752849.856
THE RIVERVALE,1 Rivervale Link  #12-08,116,950000,-,8190,761,11-Jul-12,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2012,1998,73.797,96.689,784418.124
THE RIVERVALE,1 Rivervale Link  #12-08,116,960000,-,8276,769,17-Jun-19,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2019,2012,96.689,99.938,981922.4524
THE RIVERVALE,1 Rivervale Link  #12-10,127,668800,-,5266,489,22-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1998,2012,96.689,73.797,747976.0883
THE RIVERVALE,1 Rivervale Link  #12-11,117,950000,-,8120,754,23-Jul-12,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2012,1998,73.797,96.689,756379.7946
THE RIVERVALE,1 Rivervale Link  #12-15,122,625800,-,5130,477,23-Jan-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2014,99.984,73.814,734566.8307
THE RIVERVALE,1 Rivervale Link  #13-01,122,986000,-,8082,751,8-Aug-19,99 Yrs From 18/12/1997,2000,Resale,N.A,19,54,545118,North East Region,Sengkang,2019,1998,73.797,99.938,869008.4231
THE RIVERVALE,1 Rivervale Link  #13-04,122,593216,-,4862,452,6-Sep-99,99 Yrs From 18/12/1997,2000,New Sale,Private,19,54,545118,North East Region,Sengkang,1999,2010,87.848,73.814,714209.7714
THE RIVERVALE,1 Rivervale Link  #13-09,116,603200,-,5200,483,20-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2013,98.969,73.797,812766.927
THE RIVERVALE,1 Rivervale Link  #13-16,121,488000,-,4033,375,4-Aug-06,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2006,2010,87.848,78.008,728150.4417
THE RIVERVALE,1 Rivervale Link  #13-16,121,636800,-,5263,489,25-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2006,78.008,73.797,461656.9583
THE RIVERVALE,1 Rivervale Link  #14-01,122,644700,-,5284,491,19-Jun-98,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1998,2005,77.263,73.797,460186.5654
THE RIVERVALE,1 Rivervale Link  #14-03,121,607522,-,5021,466,22-Sep-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2018,99.938,73.814,720132.9824
THE RIVERVALE,1 Rivervale Link  #14-05,120,950000,-,7917,735,15-Aug-12,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2012,2010,87.848,96.689,786957.4151
THE RIVERVALE,1 Rivervale Link  #14-06,117,975000,-,8333,774,28-Feb-14,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2014,1999,73.814,99.984,796174.1064
THE RIVERVALE,1 Rivervale Link  #14-13,121,890000,-,7355,683,19-Aug-16,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2016,2010,87.848,98.932,921209.0884
THE RIVERVALE,1 Rivervale Link  #14-13,121,575344,-,4755,442,27-Aug-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2016,98.932,73.814,664036.5099
THE RIVERVALE,1 Rivervale Link  #15-03,253,919226,-,3633,338,24-Sep-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2010,87.848,73.814,1199872.416
THE RIVERVALE,1 Rivervale Link  #15-06,117,581348,-,4969,462,Sep-99,99 Yrs From 18/12/1997,Uncompleted,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2008,84.929,73.814,538858.105
THE RIVERVALE,1 Rivervale Link  #15-12,120,608488,-,5071,471,Sep-99,99 Yrs From 18/12/1997,2000,New Sale,N.A,19,54,545118,North East Region,Sengkang,1999,2019,99.938,73.814,644057.3956
THE RIVERVALE,1 Rivervale Link  #15-13,124,592240,-,4776,444,24-Aug-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2006,78.008,73.814,454193.4161
THE RIVERVALE,1 Rivervale Link  #15-14,124,586872,-,4733,440,30-Aug-99,99 Yrs From 18/12/1997,2000,New Sale,HDB,19,54,545118,North East Region,Sengkang,1999,2005,77.263,73.814,434688.9197
THE RIVERVALE,1 Rivervale Link  #16-05,120,450000,-,3750,348,26-Jun-06,99 Yrs From 18/12/1997,2000,Resale,HDB,19,54,545118,North East Region,Sengkang,2006,1999,73.814,78.008,608220.1772
THE RIVERVALE,1 Rivervale Link  #16-11,117,468000,-,4000,372,22-Dec-06,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2006,1999,73.814,78.008,629324.8424
THE RIVERVALE,1 Rivervale Link  #16-11,117,930000,-,7949,738,31-May-18,99 Yrs From 18/12/1997,2000,Resale,Private,19,54,545118,North East Region,Sengkang,2018,2006,78.008,99.938,599566.506
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #01-01,163,820000,-,5031,467,14-Jan-08,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529861,East Region,Tampines,2008,1997,73.997,84.929,669474.2449
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #01-02,145,990000,-,6828,634,24-Oct-17,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529861,East Region,Tampines,2017,1997,73.997,99.502,680271.657
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #01-02,145,495000,-,3414,317,30-Jul-04,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529861,East Region,Tampines,2004,2017,99.502,76.903,765150.1477
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #01-03,130,443600,-,3412,317,16-Apr-97,99 Yrs From 14/11/1996,1999,New Sale,HDB,18,52,529861,East Region,Tampines,1997,2013,98.969,73.997,723752.8519
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #01-03,130,412500,-,3173,295,27-Nov-06,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529861,East Region,Tampines,2006,1997,73.997,78.008,467645.2937
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #01-05,148,830000,-,5608,521,20-Oct-10,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529861,East Region,Tampines,2010,1997,73.997,87.848,649033.0905
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #01-07,145,532600,-,3673,341,Apr-97,99 Yrs From 14/11/1996,1999,New Sale,N.A,18,52,529861,East Region,Tampines,1997,2006,78.008,73.997,447730.7968
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #01-08,161,583900,-,3627,337,8-Apr-97,99 Yrs From 14/11/1996,1999,New Sale,HDB,18,52,529861,East Region,Tampines,1997,2008,84.929,73.997,721420.4335
